#,No.,Name,Laps,Lead,Lap Tm,Spd,Elapsed Tm,Passing Tm,Hits,Strength,Noise,Photocell Time,Transponder,Backup Tx,Backup Passing Tm,Class
1,,Green Flag,,,,,0,10:01:56.779,,,,,,,,
132,2,Jan Kranczoch 2,8,10,3:55.940,"38,1",32:19.552,10:34:16.331,52,155,25,,RF-87962,0,,M
133,12,Nici Walde 12,11,11,2:56.103,"51,1",32:40.016,10:34:36.795,49,123,24,,RS-39204,0,,F
134,28,Ymte Sijbrandij 28,11,11,2:55.268,"51,3",32:42.748,10:34:39.527,44,147,24,,FL-59825,0,,M
135,41,Hanno Habighorst 41,11,11,2:55.186,"51,4",33:05.969,10:35:02.748,41,110,26,,FL-67553,0,,M
136,35,Maarten Sijbrandij 35,9,11,3:51.214,"38,9",33:28.021,10:35:24.800,52,187,26,,FX-12737,0,,M
137,30,Bo Gustavsson 30,11,11,3:06.208,"48,3",33:54.010,10:35:50.789,55,121,24,,CK-85561,0,,M
138,13,Daniel Fenn 13,8,11,2:51.363,"52,5",34:08.103,10:36:04.882,46,165,24,,RS-44911,0,,M
139,7,Swannette Tempelman 7,10,11,3:27.695,"43,3",34:23.142,10:36:19.921,55,172,25,,HL-85304,0,,F
140,4,Jan van Steeg 4,9,11,3:55.650,"38,2",34:37.537,10:36:34.316,49,149,24,,RG-75621,0,,M
141,40,Alexander Kamminga 40,9,11,3:55.453,"38,2",34:37.928,10:36:34.707,51,148,24,,SW-51561,0,,M
142,24,Peter Coppens 24,11,11,3:06.014,"48,4",34:43.940,10:36:40.719,40,126,25,,FL-79890,0,,M
143,1,Christian Winkgen 1,11,11,3:10.150,"47,3",34:48.768,10:36:45.547,37,162,24,,FR-20127,0,,M
144,6,Bernhard Böhler 6,11,11,3:09.895,"47,4",34:49.710,10:36:46.489,39,217,28,,TH-71610,0,,M
145,12,Nici Walde 12,12,12,2:53.413,"51,9",35:33.429,10:37:30.208,50,125,23,,RS-39204,0,,F
146,28,Ymte Sijbrandij 28,12,12,2:52.942,52,35:35.690,10:37:32.469,42,148,23,,FL-59825,0,,M
147,41,Hanno Habighorst 41,12,12,2:54.413,"51,6",36:00.382,10:37:57.161,37,109,23,,FL-67553,0,,M
148,2,Jan Kranczoch 2,9,12,3:58.666,"37,7",36:18.218,10:38:14.997,53,154,27,,RF-87962,0,,M
149,13,Daniel Fenn 13,9,12,2:49.795,53,36:57.898,10:38:54.677,45,163,26,,RS-44911,0,,M
150,30,Bo Gustavsson 30,12,12,3:08.045,"47,9",37:02.055,10:38:58.834,52,122,28,,CK-85561,0,,M
151,35,Maarten Sijbrandij 35,10,12,4:00.300,"37,5",37:28.321,10:39:25.100,50,189,25,,FX-12737,0,,M
152,24,Peter Coppens 24,12,12,3:09.019,"47,6",37:52.959,10:39:49.738,44,125,24,,FL-79890,0,,M
153,7,Swannette Tempelman 7,11,12,3:32.417,"42,4",37:55.559,10:39:52.338,56,172,24,,HL-85304,0,,F
154,1,Christian Winkgen 1,12,12,3:13.697,"46,5",38:02.465,10:39:59.244,36,158,24,,FR-20127,0,,M
155,6,Bernhard Böhler 6,12,12,3:13.549,"46,5",38:03.259,10:40:00.038,39,219,24,,TH-71610,0,,M
156,12,Nici Walde 12,13,13,2:50.970,"52,6",38:24.399,10:40:21.178,48,123,27,,RS-39204,0,,F
157,28,Ymte Sijbrandij 28,13,13,2:51.066,"52,6",38:26.756,10:40:23.535,44,146,27,,FL-59825,0,,M
158,40,Alexander Kamminga 40,10,13,3:55.507,"38,2",38:33.435,10:40:30.214,49,150,25,,SW-51561,0,,M
159,4,Jan van Steeg 4,10,13,3:55.911,"38,1",38:33.448,10:40:30.227,50,145,25,,RG-75621,0,,M
160,41,Hanno Habighorst 41,13,13,2:58.820,"50,3",38:59.202,10:40:55.981,47,107,25,,FL-67553,0,,M
161,13,Daniel Fenn 13,10,13,2:51.370,"52,5",39:49.268,10:41:46.047,47,164,23,,RS-44911,0,,M
162,30,Bo Gustavsson 30,13,13,3:05.223,"48,6",40:07.278,10:42:04.057,56,123,23,,CK-85561,0,,M
163,2,Jan Kranczoch 2,10,13,4:00.209,"37,5",40:18.427,10:42:15.206,55,153,25,,RF-87962,0,,M
164,24,Peter Coppens 24,13,13,3:08.525,"47,7",41:01.484,10:42:58.263,46,127,24,,FL-79890,0,,M
165,6,Bernhard Böhler 6,13,13,3:02.151,"49,4",41:05.410,10:43:02.189,39,213,23,,TH-71610,0,,M
